time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,rollout/ep_rew_mean,train/loss,train/clip_fraction,train/explained_variance,train/learning_rate,train/entropy_loss
1,512,34,14,,,,,,,,,,,,
2,1024,32,31,484.0,10,0.2,3084.8106170654296,8.731149e-09,-1.5533337136730552e-05,1281.0,1421.2138671875,0.0,-4.076957702636719e-05,1e-06,-1.9459095299243927
3,1536,31,48,481.3333333333333,20,0.2,4468.813751220703,0.0,-3.5968783777207137e-06,1186.0,2277.87451171875,0.0,-6.29425048828125e-05,1e-06,-1.9459095045924186
4,2048,30,66,407.25,30,0.2,3360.2816513061525,0.0,-9.757815860211849e-07,1154.75,2678.305419921875,0.0,-4.8279762268066406e-05,1e-06,-1.9459095001220703
5,2560,30,84,483.4,40,0.2,4447.252801513672,3.608875e-09,-7.5862451922148464e-06,1207.4,2405.8857421875,0.0,-3.993511199951172e-05,1e-06,-1.9459095001220703
6,3072,30,101,508.1666666666667,50,0.2,2560.02748336792,3.1664968e-08,-1.055421307682991e-05,1310.5,1208.20263671875,0.0,1.8835067749023438e-05,1e-06,-1.9459094554185867
7,3584,30,119,465.85714285714283,60,0.2,3677.161004638672,8.1490725e-10,-4.209182225167751e-06,1270.142857142857,1346.2587890625,0.0,-1.6689300537109375e-05,1e-06,-1.9459093317389489
8,4096,29,137,465.85714285714283,70,0.2,4313.29775390625,3.0267984e-09,-3.1467643566429615e-06,1270.142857142857,2360.26904296875,0.0,-5.960464477539062e-07,1e-06,-1.9459092006087304
9,4608,29,155,465.85714285714283,80,0.2,17.482716131210328,1.6449485e-07,-2.6294536655768753e-05,1270.142857142857,8.18861198425293,0.0,1.8417835235595703e-05,1e-06,-1.9459092259407043
10,5120,29,172,614.25,90,0.2,2567.0655715942385,0.0,-2.5775458198040725e-06,1342.625,1080.866455078125,0.0,0.00010377168655395508,1e-06,-1.9459091529250145
11,5632,29,189,614.25,100,0.2,3688.249053955078,3.958121e-09,-4.765868652611971e-06,1342.625,1859.233154296875,0.0,6.145238876342773e-05,1e-06,-1.945908722281456
